dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Adamstown,Adamstown,Adamstown,19501,40.242327,-76.057696,0,Convertible,Black,0.17,19501,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0
Fans,Philadelphia Phillies,MLB,Amity Gardens,Douglassville,Douglassville,19518,40.25787,-75.7263,44,Casual,Black,0.17,19518,3,0,0,0,0,0,0,0,0,4,1,1,2,3,5,6
Fans,Philadelphia Phillies,MLB,Ashland,Ashland,Ashland,41101,38.473824,-82.647933,0,Convertible,Black,0.17,41101,1,2,5,1,0,0,0,0,1,6,5,4,1,0,0,0
Fans,Philadelphia Phillies,MLB,Aston,Aston,Aston,19014,39.864907,-75.432958,57,Avid,Black,0.17,19014,5,6,0,5,0,3,4,9,3,8,6,22,12,5,1,14
Fans,Philadelphia Phillies,MLB,Bally,Bally,Bally,19503,40.40232,-75.58713,100,Avid,Black,0.17,19503,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Barrington,Barrington,Barrington,60010,42.146794,-88.165268,51,Casual,Black,0.17,60010,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5
Fans,Philadelphia Phillies,MLB,Bath,Bath,Bath,14810,42.357464,-77.302789,24,Convertible,Black,0.17,14810,10,0,4,0,0,0,1,0,0,0,1,0,0,3,0,0
Fans,Philadelphia Phillies,MLB,Bellmawr,Bellmawr,Bellmawr,8031,39.866356,-75.09467,50,Casual,Black,0.17,8031,0,0,0,0,0,3,6,7,0,7,8,5,7,0,0,0
Fans,Philadelphia Phillies,MLB,Berlin,Berlin,Berlin,3570,44.512344,-71.194226,0,Convertible,Black,0.17,3570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Bingham,Elbridge,Elbridge,13060,43.027813,-76.416612,0,Convertible,Black,0.17,13060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Boothwyn,Marcus Hook,Marcus Hook,19061,39.81928,-75.41853,36,Casual,Black,0.17,19061,7,10,12,2,10,5,3,13,21,5,11,5,1,1,7,1
Fans,Philadelphia Phillies,MLB,Bressler-Enhaut-Oberlin,Harrisburg,Harrisburg,17113,40.23904,-76.841644,0,Convertible,Black,0.17,17113,17,11,4,8,16,12,5,8,1,18,12,23,24,0,3,0
Fans,Philadelphia Phillies,MLB,Brittany Farms-Highlands,Chalfont,Chalfont,18914,40.288277,-75.201848,31,Casual,Black,0.17,18914,0,0,0,0,2,3,0,0,2,0,0,0,22,7,5,1
Fans,Philadelphia Phillies,MLB,Bryn Mawr,Bryn Mawr,Bryn Mawr,19010,40.023624,-75.329727,17,Convertible,Black,0.17,19010,5,0,0,0,1,0,4,1,3,1,5,6,4,7,6,7
Fans,Philadelphia Phillies,MLB,Caddo Mills,Caddo Mills,Caddo Mills,75135,33.076823,-96.219803,0,Convertible,Black,0.17,75135,0,0,0,19,0,3,0,0,0,0,0,0,4,0,0,0
Fans,Philadelphia Phillies,MLB,Chesilhurst,Waterford Works,Waterford Works,8089,39.723037,-74.836939,34,Casual,Black,0.17,8089,1,1,0,2,1,1,0,1,3,1,1,4,8,4,3,0
Fans,Philadelphia Phillies,MLB,Chesterfield Township,New Baltimore,New Baltimore,48051,42.693641,-82.821001,20,Convertible,Black,0.17,48051,0,3,0,0,3,0,8,7,9,5,8,0,1,8,3,10
Fans,Philadelphia Phillies,MLB,Cinnaminson,Riverton,Riverton,8077,40.000162,-74.991632,43,Casual,Black,0.17,8077,0,0,1,1,0,0,1,3,1,7,14,7,6,5,9,0
Fans,Philadelphia Phillies,MLB,Claymont,Claymont,Claymont,19703,39.80379,-75.45814,29,Casual,Black,0.17,19703,20,34,6,19,0,17,13,17,24,41,39,26,62,26,11,15
Fans,Philadelphia Phillies,MLB,Coatesville,Coatesville,Coatesville,19320,39.968862,-75.829163,27,Casual,Black,0.17,19320,33,40,10,31,24,13,35,17,26,59,87,56,51,77,39,61
