dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Adamstown,Adamstown,Adamstown,19501,40.242327,-76.057696,0,Convertible,Hispanic,0.18,19501,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Amity Gardens,Douglassville,Douglassville,19518,40.25787,-75.7263,44,Casual,Hispanic,0.18,19518,0,0,0,8,0,0,0,0,7,0,0,4,5,5,16,20
Fans,Philadelphia Phillies,MLB,Ashland,Ashland,Ashland,41101,38.473824,-82.647933,0,Convertible,Hispanic,0.18,41101,0,0,0,0,0,0,6,0,13,0,4,13,0,0,0,4
Fans,Philadelphia Phillies,MLB,Aston,Aston,Aston,19014,39.864907,-75.432958,57,Avid,Hispanic,0.18,19014,2,0,0,0,0,0,0,0,1,0,0,2,0,7,4,0
Fans,Philadelphia Phillies,MLB,Bally,Bally,Bally,19503,40.40232,-75.58713,100,Avid,Hispanic,0.18,19503,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Fans,Philadelphia Phillies,MLB,Barrington,Barrington,Barrington,60010,42.146794,-88.165268,51,Casual,Hispanic,0.18,60010,3,2,0,3,4,1,0,0,0,0,0,3,4,14,2,7
Fans,Philadelphia Phillies,MLB,Bath,Bath,Bath,14810,42.357464,-77.302789,24,Convertible,Hispanic,0.18,14810,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Fans,Philadelphia Phillies,MLB,Bellmawr,Bellmawr,Bellmawr,8031,39.866356,-75.09467,50,Casual,Hispanic,0.18,8031,0,0,6,0,4,0,5,0,2,5,9,33,2,0,8,0
Fans,Philadelphia Phillies,MLB,Berlin,Berlin,Berlin,3570,44.512344,-71.194226,0,Convertible,Hispanic,0.18,3570,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Bingham,Elbridge,Elbridge,13060,43.027813,-76.416612,0,Convertible,Hispanic,0.18,13060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Boothwyn,Marcus Hook,Marcus Hook,19061,39.81928,-75.41853,36,Casual,Hispanic,0.18,19061,2,0,0,0,0,1,4,0,12,6,0,1,1,4,3,6
Fans,Philadelphia Phillies,MLB,Bressler-Enhaut-Oberlin,Harrisburg,Harrisburg,17113,40.23904,-76.841644,0,Convertible,Hispanic,0.18,17113,10,4,5,3,0,11,0,12,8,8,9,41,0,2,0,0
Fans,Philadelphia Phillies,MLB,Brittany Farms-Highlands,Chalfont,Chalfont,18914,40.288277,-75.201848,31,Casual,Hispanic,0.18,18914,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,8
Fans,Philadelphia Phillies,MLB,Bryn Mawr,Bryn Mawr,Bryn Mawr,19010,40.023624,-75.329727,17,Convertible,Hispanic,0.18,19010,0,6,0,0,10,1,0,3,0,0,0,5,5,12,4,17
Fans,Philadelphia Phillies,MLB,Caddo Mills,Caddo Mills,Caddo Mills,75135,33.076823,-96.219803,0,Convertible,Hispanic,0.18,75135,3,0,0,1,0,2,0,0,0,8,2,8,5,4,13,11
