dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity,Fandom Level,Race,helper,match,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Philadelphia Phillies,MLB,Adamstown,Adamstown,Adamstown,19501,40.242327,-76.057696,0,Convertible,White,0.62,19501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Philadelphia Phillies,MLB,Amity Gardens,Douglassville,Douglassville,19518,40.25787,-75.7263,44,Casual,White,0.62,19518,108,30,71,91,71,82,57,114,87,77,164,233,453,420,334,587
Fans,Philadelphia Phillies,MLB,Ashland,Ashland,Ashland,41101,38.473824,-82.647933,0,Convertible,White,0.62,41101,277,389,343,197,153,236,107,208,104,172,383,306,644,430,120,191
Fans,Philadelphia Phillies,MLB,Aston,Aston,Aston,19014,39.864907,-75.432958,57,Avid,White,0.62,19014,162,57,47,58,98,125,63,189,58,105,188,450,544,553,507,508
Fans,Philadelphia Phillies,MLB,Bally,Bally,Bally,19503,40.40232,-75.58713,100,Avid,White,0.62,19503,2,0,14,13,9,2,2,9,7,20,21,31,39,25,26,27
Fans,Philadelphia Phillies,MLB,Barrington,Barrington,Barrington,60010,42.146794,-88.165268,51,Casual,White,0.62,60010,233,73,97,157,148,87,55,117,193,130,293,507,665,654,713,1375
Fans,Philadelphia Phillies,MLB,Bath,Bath,Bath,14810,42.357464,-77.302789,24,Convertible,White,0.62,14810,196,224,168,172,225,204,100,202,169,237,217,277,346,237,160,128
Fans,Philadelphia Phillies,MLB,Bellmawr,Bellmawr,Bellmawr,8031,39.866356,-75.09467,50,Casual,White,0.62,8031,84,11,75,182,159,19,17,136,70,148,99,327,422,212,172,277
Fans,Philadelphia Phillies,MLB,Berlin,Berlin,Berlin,3570,44.512344,-71.194226,0,Convertible,White,0.62,3570,118,200,126,254,173,117,73,88,108,128,131,123,258,211,27,110
Fans,Philadelphia Phillies,MLB,Bingham,Elbridge,Elbridge,13060,43.027813,-76.416612,0,Convertible,White,0.62,13060,105,11,18,6,32,24,23,10,81,27,86,30,100,61,38,35
Fans,Philadelphia Phillies,MLB,Boothwyn,Marcus Hook,Marcus Hook,19061,39.81928,-75.41853,36,Casual,White,0.62,19061,196,52,81,213,181,157,74,99,162,135,348,357,615,419,169,505
Fans,Philadelphia Phillies,MLB,Bressler-Enhaut-Oberlin,Harrisburg,Harrisburg,17113,40.23904,-76.841644,0,Convertible,White,0.62,17113,120,69,61,50,35,51,39,82,143,120,109,179,369,92,62,97
Fans,Philadelphia Phillies,MLB,Brittany Farms-Highlands,Chalfont,Chalfont,18914,40.288277,-75.201848,31,Casual,White,0.62,18914,85,30,25,86,58,89,38,242,49,21,105,222,410,404,301,730
Fans,Philadelphia Phillies,MLB,Bryn Mawr,Bryn Mawr,Bryn Mawr,19010,40.023624,-75.329727,17,Convertible,White,0.62,19010,206,32,33,38,74,58,45,52,104,95,116,198,412,432,223,510
Fans,Philadelphia Phillies,MLB,Caddo Mills,Caddo Mills,Caddo Mills,75135,33.076823,-96.219803,0,Convertible,White,0.62,75135,42,7,33,12,41,43,42,56,34,40,71,86,280,233,156,124
Fans,Philadelphia Phillies,MLB,Chesilhurst,Waterford Works,Waterford Works,8089,39.723037,-74.836939,34,Casual,White,0.62,8089,22,9,17,15,29,8,9,20,11,19,26,84,83,55,73,98
Fans,Philadelphia Phillies,MLB,Chesterfield Township,New Baltimore,New Baltimore,48051,42.693641,-82.821001,20,Convertible,White,0.62,48051,63,70,53,128,144,164,65,111,96,252,146,326,699,424,354,454
Fans,Philadelphia Phillies,MLB,Cinnaminson,Riverton,Riverton,8077,40.000162,-74.991632,43,Casual,White,0.62,8077,51,40,72,69,42,64,36,40,53,31,128,286,448,486,528,662
Fans,Philadelphia Phillies,MLB,Claymont,Claymont,Claymont,19703,39.80379,-75.45814,29,Casual,White,0.62,19703,34,42,50,82,87,93,71,105,50,113,181,203,390,213,169,233
Fans,Philadelphia Phillies,MLB,Coatesville,Coatesville,Coatesville,19320,39.968862,-75.829163,27,Casual,White,0.62,19320,133,187,171,193,247,132,50,203,256,271,522,905,1280,1081,926,1204
Fans,Philadelphia Phillies,MLB,Cochranville,Cochranville,Cochranville,19330,39.916517,-75.925805,0,Convertible,White,0.62,19330,19,17,6,22,15,17,15,17,60,27,40,73,186,157,136,151
