dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,helper,mapping,Fandom Level,cheat,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Abington,Abington,Abington,2351,0,42.11749,-70.959888,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0
Fans,Oklahoma City Thunder,NBA,Ada,Ada,Ada,74820,24,34.748961,-96.685325,Black,0.27,,casual,INDEX MATCH,5,1,3,1,5,8,8,5,2,1,9,12,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Andover,Andover,Andover,1810,0,42.647991,-71.165685,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,17
Fans,Oklahoma City Thunder,NBA,Arvada,Arvada,Arvada,80001,4,39.522014,-105.223945,Black,0.27,,convertible,INDEX MATCH,0,,,,,,,,,,,,,,,
Fans,Oklahoma City Thunder,NBA,Bartlesville,Bartlesville,Bartlesville,74003,31,36.728272,-96.067573,Black,0.27,,casual,INDEX MATCH,7,2,5,6,3,9,1,3,5,1,3,3,2,0,2,0
Fans,Oklahoma City Thunder,NBA,Bella Vista,Bella Vista,Bella Vista,72714,0,36.467299,-94.220903,Black,0.27,,convertible,INDEX MATCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Belton,Belton,Belton,64012,0,38.784041,-94.532397,Black,0.27,,convertible,INDEX MATCH,25,0,0,0,5,2,22,48,4,56,9,13,3,23,1,2
Fans,Oklahoma City Thunder,NBA,Bentonville,Bentonville,Bentonville,72712,5,36.347107,-94.223419,Black,0.27,,convertible,INDEX MATCH,4,6,0,7,15,18,0,0,9,9,8,12,18,2,4,19
Fans,Oklahoma City Thunder,NBA,Bethany,Bethany,Bethany,73008,38,35.51867,-97.63226,Black,0.27,,casual,INDEX MATCH,41,21,19,2,22,11,6,0,6,16,4,17,12,8,0,0
Fans,Oklahoma City Thunder,NBA,Bixby,Bixby,Bixby,74008,24,35.93345,-95.877617,Black,0.27,,casual,INDEX MATCH,5,0,0,0,2,2,0,0,0,0,4,7,5,2,4,8
Fans,Oklahoma City Thunder,NBA,Bracey,Bracey,Bracey,23919,0,36.59959,-78.14305,Black,0.27,,convertible,INDEX MATCH,0,2,9,3,1,0,0,4,0,0,11,2,5,0,0,0
Fans,Oklahoma City Thunder,NBA,Brighton,Brighton,Brighton,2135,0,42.3501,-71.15644,Black,0.27,,convertible,INDEX MATCH,13,37,6,16,16,2,0,2,3,10,25,64,22,33,1,11
