dCategory,Team,League,City,City Alt.,Neighborhood,Intensity,zipcode,US lat,US lon,Match,Race,Fandom Level,helper,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Pittsburgh Steelers,NFL,Acme,Acme,Acme,50,15610,40.120149,-79.405069,,Hispanic,avid,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Pittsburgh Steelers,NFL,Alden,Alden,Alden,17,14004,42.872937,-78.528446,,Hispanic,casual,0.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fans,Pittsburgh Steelers,NFL,Aliquippa,Aliquippa,Aliquippa,45,15001,40.63673,-80.24006,,Hispanic,casual,0.15,9,2,0,5,0,6,10,0,3,3,9,0,0,0,15,1
Fans,Pittsburgh Steelers,NFL,Allenport,Allenport,Allenport,0,15412,40.095888,-79.849887,,Hispanic,convertible,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Pittsburgh Steelers,NFL,Altoona,Altoona,Altoona,33,50009,41.6456,-93.4624,,Hispanic,casual,0.15,0,4,0,2,0,9,89,0,15,0,0,0,0,0,0,0
Fans,Pittsburgh Steelers,NFL,Ambridge,Ambridge,Ambridge,47,15003,40.600494,-80.210521,,Hispanic,casual,0.15,1,0,0,5,0,0,3,0,2,1,2,2,1,0,4,0
Fans,Pittsburgh Steelers,NFL,Amherst,Amherst,Amherst,11,1002,42.367092,-72.464571,,Hispanic,casual,0.15,18,6,4,2,18,1,4,4,2,9,3,19,14,8,7,9
Fans,Pittsburgh Steelers,NFL,Atwater,Atwater,Atwater,13,44201,41.040507,-81.194614,,Hispanic,casual,0.15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0
Fans,Pittsburgh Steelers,NFL,Auburndale,Auburndale,Auburndale,0,33823,28.0653,-81.78869,,Hispanic,convertible,0.15,6,12,17,33,10,11,6,20,20,27,17,39,26,17,13,9
Fans,Pittsburgh Steelers,NFL,Austintown,Youngstown,Youngstown,20,44515,41.097937,-80.759813,,Hispanic,casual,0.15,4,0,8,0,2,2,0,7,8,5,7,2,4,8,0,0
Fans,Pittsburgh Steelers,NFL,Avon,Avon,Avon,0,14414,42.895631,-77.735104,,Hispanic,convertible,0.15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Fans,Pittsburgh Steelers,NFL,Avonmore,Avonmore,Avonmore,37,15618,40.497049,-79.489055,,Hispanic,casual,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Pittsburgh Steelers,NFL,Baldwin,Baldwin,Baldwin,44,21013,39.496406,-76.486624,,Hispanic,casual,0.15,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,0
Fans,Pittsburgh Steelers,NFL,Barboursville,Barboursville,Barboursville,4,25504,38.379347,-82.264954,,Hispanic,convertible,0.15,0,0,0,1,0,0,2,2,4,0,0,2,0,0,0,0
Fans,Pittsburgh Steelers,NFL,Barkeyville,Harrisville,Harrisville,45,16038,41.13673,-80.00922,,Hispanic,casual,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fans,Pittsburgh Steelers,NFL,Beaver,Beaver,Beaver,72,15009,40.69534,-80.30478,,Hispanic,avid,0.15,0,0,0,0,2,0,1,0,0,4,1,2,0,0,2,3
Fans,Pittsburgh Steelers,NFL,Beaver Falls,Beaver Falls,Beaver Falls,36,15010,40.75201,-80.31923,,Hispanic,casual,0.15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Fans,Pittsburgh Steelers,NFL,Bell Acres,Sewickley,Sewickley,0,15143,40.568133,-80.146809,,Hispanic,convertible,0.15,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,3
Fans,Pittsburgh Steelers,NFL,Bellefonte,Bellefonte,Bellefonte,12,16823,40.897823,-77.773188,,Hispanic,casual,0.15,0,0,0,1,1,0,0,0,0,0,0,8,3,0,0,0
Fans,Pittsburgh Steelers,NFL,Bethel Park,Bethel Park,Bethel Park,45,15102,40.32757,-80.0395,,Hispanic,casual,0.15,3,2,0,0,0,0,0,5,0,0,2,0,4,4,4,0
Fans,Pittsburgh Steelers,NFL,Bluffton,Bluffton,Bluffton,0,45817,40.89533,-83.88883,,Hispanic,convertible,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
