dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,US lat,US lon,Intensity Score,Race,Fandom Level,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Arizona Coyotes,NHL,Ak-Chin Indian Community,Maricopa,Maricopa,85139,33.02838,-112.08764,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fans,Arizona Coyotes,NHL,Aliquippa,Aliquippa,Aliquippa,15001,40.63673,-80.24006,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,American Fork,American Fork,American Fork,84003,40.395796,-111.803101,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Apache Junction,Apache Junction,Apache Junction,85119,33.395202,-111.519692,61,Native American,avid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Auburn,Auburn,Auburn,98001,47.309496,-122.264469,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Avondale,Avondale,Avondale,85323,33.4356,-112.3496,39,Native American,casual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Baldwin,Baldwin,Baldwin,21013,39.496406,-76.486624,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Barrington,Barrington,Barrington,60010,42.146794,-88.165268,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Beacon Square,New Port Richey,New Port Richey,34652,28.239369,-82.736882,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Belfast,Belfast,Belfast,4915,44.404619,-69.040297,0,Native American,convertible,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Bellevue,Bellevue,Bellevue,98004,47.615471,-122.207221,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Belvedere Tiburon,Belvedere Tiburon,Belvedere Tiburon,94920,37.872704,-122.464417,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Benson,Benson,Benson,85602,32.035885,-110.262611,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Fans,Arizona Coyotes,NHL,Bisbee,Bisbee,Bisbee,85603,31.44815,-109.92841,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Blasdell,Buffalo,Buffalo,14219,42.786308,-78.826444,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Blue Springs,Blue Springs,Blue Springs,64014,39.00569,-94.252933,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Bonita Springs,Bonita Springs,Bonita Springs,34135,26.377129,-81.733377,0,Native American,convertible,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Braintree,Braintree,Braintree,2184,42.202216,-71.005192,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Brentwood,Brentwood,Brentwood,94513,37.922228,-121.668359,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Bridgetown North,Cincinnati,Cincinnati,45211,39.158409,-84.602646,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Bridgewater,Bridgewater,Bridgewater,2324,41.973741,-70.976558,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Brighton,Brighton,Brighton,2135,42.3501,-71.15644,0,Native American,convertible,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Bristol,Bristol,Bristol,6010,41.681198,-72.939577,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Fans,Arizona Coyotes,NHL,Buckeye,Buckeye,Buckeye,85326,33.37032,-112.58378,38,Native American,casual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Burton,Burton,Burton,48509,43.025934,-83.604053,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Carlton,Carlton,Carlton,97111,45.282393,-123.218624,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Casa Grande,Casa Grande,Casa Grande,85122,32.8795,-111.75735,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Casas Adobes,Tucson,Tucson,85704,32.33942,-110.984997,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Cascade-Fairwood,Renton,Renton,98058,47.432927,-122.117999,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Castle Pines,Castle Rock,Castle Rock,80108,39.445502,-104.852987,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Catalina Foothills,Tucson,Tucson,85718,32.311724,-110.91898,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Centerburg,Centerburg,Centerburg,43011,40.313394,-82.665177,0,Native American,convertible,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Centreville,Centreville,Centreville,20120,38.84479,-77.46701,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Chandler,Chandler,Chandler,85225,33.325991,-111.824367,48,Native American,avid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Chester,Chester,Chester,23831,37.320744,-77.454311,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Collinsville,Collinsville,Collinsville,62234,38.67033,-89.98455,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Colonial Park,Harrisburg,Harrisburg,17109,40.290953,-76.820294,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Concrete,Concrete,Concrete,98237,48.508868,-121.697178,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Coolidge,Coolidge,Coolidge,85128,32.97784,-111.51762,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Arizona Coyotes,NHL,Coronado,Coronado,Coronado,92118,32.699235,-117.209642,0,Native American,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
